rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780316485623	Little, Brown	The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.	0.00	THE LAW OF INNOCENCE	Michael Connelly	by Michael Connelly	https://storage.googleapis.com/du-prd/books/images/9780316485623.jpg	322	500	https://www.amazon.com/dp/0316485624?tag=thenewyorktim-20			nyt://book/2a92d581-b696-57c3-a866-5b983c4c07df
2	0	9781982135607	Simon & Schuster	A debut collection of poems by the Grammy Award-nominated musician.	0.00	I WOULD LEAVE ME IF I COULD	Halsey	by Halsey	https://storage.googleapis.com/du-prd/books/images/9781982135607.jpg	329	500	https://www.amazon.com/dp/1982135603?tag=thenewyorktim-20			nyt://book/5da03d63-a34a-52f2-abbd-a4d5a354cb7c
3	2	9780385545969	Doubleday	The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.	0.00	A TIME FOR MERCY	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545969.jpg	329	500	https://www.amazon.com/dp/0385545967?tag=thenewyorktim-20			nyt://book/33a48cf6-d7f3-5113-aa1e-6adcbb3853c3
4	4	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
5	3	9781984818461	Delacorte	Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.	0.00	THE SENTINEL	Lee Child and Andrew Child	by Lee Child and Andrew Child	https://storage.googleapis.com/du-prd/books/images/9781984818461.jpg	327	500	https://www.amazon.com/dp/1984818465?tag=thenewyorktim-20			nyt://book/8af67edb-c121-58bc-88ca-4fc6599ef2b6
6	1	9781982154837	Atria	The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.	0.00	FORTUNE AND GLORY	Janet Evanovich	by Janet Evanovich	https://storage.googleapis.com/du-prd/books/images/9781982154837.jpg	331	500	https://www.amazon.com/dp/1982154837?tag=thenewyorktim-20			nyt://book/adddbef7-49d1-5a23-82b6-cb83b7d030fb
7	0	9780593087916	Putnam	The 15th book in the Oregon Files series. A billionaire's dying wish bestows a paralyzing chemical to a terrorist group.	0.00	MARAUDER	Clive Cussler and Boyd Morrison	by Clive Cussler and Boyd Morrison	https://storage.googleapis.com/du-prd/books/images/9780593087916.jpg	331	500	https://www.amazon.com/dp/0593087917?tag=thenewyorktim-20			nyt://book/63103eab-269a-5b15-b8bb-f5d80cad384e
8	0	9780062955456	Harper	Cecily Trehearne goes missing from a Greek island hotel that is run by a former publisher after reading the mystery “Atticus Pünd Takes the Case.”	0.00	MOONFLOWER MURDERS	Anthony Horowitz	by Anthony Horowitz	https://storage.googleapis.com/du-prd/books/images/9780062955456.jpg	330	500	https://www.amazon.com/dp/0062955454?tag=thenewyorktim-20			nyt://book/78de8bf1-28ba-59c4-b966-16bac8357888
9	12	9781501160837	Atria	A failed bank robber holds a group of strangers hostage at an apartment open house.	0.00	ANXIOUS PEOPLE	Fredrik Backman	by Fredrik Backman	https://storage.googleapis.com/du-prd/books/images/9781501160837.jpg	332	500	https://www.amazon.com/dp/1501160834?tag=thenewyorktim-20			nyt://book/3981eb6a-8937-5dcb-848b-a3904bf779a2
10	11	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
11	7	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
12	10	9781984818355	Ballantine	After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.	0.00	THE BOOK OF TWO WAYS	Jodi Picoult	by Jodi Picoult	https://storage.googleapis.com/du-prd/books/images/9781984818355.jpg	329	500	https://www.amazon.com/dp/198481835X?tag=thenewyorktim-20			nyt://book/24ac761d-3017-5b80-84f7-0718f5cead02
