rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780525954989	Viking	In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.	0.00	THE EVENING AND THE MORNING	Ken Follett	by Ken Follett	https://storage.googleapis.com/du-prd/books/images/9780525954989.jpg	329	500	https://www.amazon.com/dp/0525954988?tag=thenewyorktim-20			nyt://book/6fd2cc42-7bff-59a1-9c5c-20514172cf5b
2	0	9780316498937	Mulholland	The fifth book in the Cormoran Strike series. A decades-old cold case might be connected to a serial killer; by J.K. Rowling, writing pseudonymously.	0.00	TROUBLED BLOOD	Robert Galbraith	by Robert Galbraith	https://storage.googleapis.com/du-prd/books/images/9780316498937.jpg	330	500	https://www.amazon.com/dp/0316498939?tag=thenewyorktim-20			nyt://book/1844509e-025d-5b66-ad12-05db3156416c
3	0	9781501190650	Emily Bestler /Atria	When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist.	0.00	VINCE FLYNN: TOTAL POWER	Kyle Mills	by Kyle Mills	https://storage.googleapis.com/du-prd/books/images/9781501190650.jpg	327	500	https://www.amazon.com/dp/1501190652?tag=thenewyorktim-20			nyt://book/9045ff5c-77e5-51c8-99ba-fa9ff96d980e
4	0	9781250762849	Tor	Kira Navárez might be the only one who can save the Earth and its colonies from being destroyed.	0.00	TO SLEEP IN A SEA OF STARS	Christopher Paolini	by Christopher Paolini	https://storage.googleapis.com/du-prd/books/images/9781250762849.jpg	329	500	https://www.amazon.com/dp/1250762847?tag=thenewyorktim-20			nyt://book/57764912-c403-57cb-a9ed-e923164351ca
5	5	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
6	8	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
7	7	9781629998916	FrontLine	Nouriel, Ana Goren and a figure known as "the prophet" return as revelations are unlocked.	0.00	THE HARBINGER II	Jonathan Cahn	by Jonathan Cahn	https://storage.googleapis.com/du-prd/books/images/9781629998916.jpg	338	500	https://www.amazon.com/dp/1629998915?tag=thenewyorktim-20			nyt://book/24d1edc5-ba8f-5acb-afa5-20e2c6faa328
8	2	9781250207234	St. Martin's	The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.	0.00	SHADOWS IN DEATH	J.D. Robb	by J.D. Robb	https://storage.googleapis.com/du-prd/books/images/9781250207234.jpg	329	500	https://www.amazon.com/dp/1250207231?tag=thenewyorktim-20			nyt://book/dc417982-e5c4-54de-b9b0-23de9904f5c2
9	0	9781635575637	Bloomsbury	Another world is revealed as a man called the Other asks Piranesi for help with research into a Great and Secret Knowledge.	0.00	PIRANESI	Susanna Clarke	by Susanna Clarke	https://storage.googleapis.com/du-prd/books/images/9781635575637.jpg	331	500	https://www.amazon.com/dp/163557563X?tag=thenewyorktim-20			nyt://book/bfc14db5-cbca-50f0-bc99-0668264aa851
10	3	9781501188817	Gallery/Scout	An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.	0.00	ONE BY ONE	Ruth Ware	by Ruth Ware	https://storage.googleapis.com/du-prd/books/images/9781501188817.jpg	331	500	https://www.amazon.com/dp/150118881X?tag=thenewyorktim-20			nyt://book/603b3844-b7e7-5f0b-b32c-0d760002f659
