rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9781984818461	Delacorte	Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.	0.00	THE SENTINEL	Lee Child and Andrew Child	by Lee Child and Andrew Child	https://storage.googleapis.com/du-prd/books/images/9781984818461.jpg	327	500	https://www.amazon.com/dp/1984818465?tag=thenewyorktim-20			nyt://book/8af67edb-c121-58bc-88ca-4fc6599ef2b6
2	1	9780385545969	Doubleday	The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.	0.00	A TIME FOR MERCY	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545969.jpg	329	500	https://www.amazon.com/dp/0385545967?tag=thenewyorktim-20			nyt://book/33a48cf6-d7f3-5113-aa1e-6adcbb3853c3
3	2	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
4	0	9780316541619	Little, Brown	Detective Sean Walsh must solve a case involving three missing women who had access to a home where a man was murdered.	0.00	THREE WOMEN DISAPPEAR	James Patterson and Shan Serafin	by James Patterson and Shan Serafin	https://storage.googleapis.com/du-prd/books/images/9780316541619.jpg	322	500	https://www.amazon.com/dp/0316541613?tag=thenewyorktim-20			nyt://book/aaa8460a-f78a-550f-9af3-f0d6051c9ef6
5	0	9780593133842	Random House	Bud Threadgoode returns to his hometown and sets off some life-changing events.	0.00	THE WONDER BOY OF WHISTLE STOP	Fannie Flagg	by Fannie Flagg	https://storage.googleapis.com/du-prd/books/images/9780593133842.jpg	329	500	https://www.amazon.com/dp/0593133846?tag=thenewyorktim-20			nyt://book/cae4abb7-3374-5e16-8223-19204bd4a9e4
6	4	9780765387561	Tor/Forge	A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.	0.00	THE INVISIBLE LIFE OF ADDIE LARUE	V.E. Schwab	by V.E. Schwab	https://storage.googleapis.com/du-prd/books/images/9780765387561.jpg	331	500	https://www.amazon.com/dp/0765387565?tag=thenewyorktim-20			nyt://book/c9bf2d03-7b78-58d8-a9d7-a9b897d08427
7	0	9781982129606	Gallery	An editor of a publishing house inherits her father’s bookstore and receives letters from an anonymous source.	0.00	THE NOEL LETTERS	Richard Paul Evans	by Richard Paul Evans	https://storage.googleapis.com/du-prd/books/images/9781982129606.jpg	356	500	https://www.amazon.com/dp/1982129603?tag=thenewyorktim-20			nyt://book/9b3b331f-5bde-57b9-8d2a-a0f4472a5104
8	0	9781982104382	Atria	An 18-year-old who wants to become a police officer falls in love with a young woman who has an aggressive form of cancer.	0.00	TRULY, MADLY, DEEPLY	Karen Kingsbury	by Karen Kingsbury	https://storage.googleapis.com/du-prd/books/images/9781982104382.jpg	323	500	https://www.amazon.com/dp/1982104384?tag=thenewyorktim-20			nyt://book/d50158ef-396c-51e7-9d64-9e9993079a29
9	5	9780525954989	Viking	In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.	0.00	THE EVENING AND THE MORNING	Ken Follett	by Ken Follett	https://storage.googleapis.com/du-prd/books/images/9780525954989.jpg	329	500	https://www.amazon.com/dp/0525954988?tag=thenewyorktim-20			nyt://book/6fd2cc42-7bff-59a1-9c5c-20514172cf5b
10	3	9780735224650	Viking	After a divorce, a former Chicago police officer resettles in an Irish village where a boy goes missing.	0.00	THE SEARCHER	Tana French	by Tana French	https://storage.googleapis.com/du-prd/books/images/9780735224650.jpg	331	500	https://www.amazon.com/dp/073522465X?tag=thenewyorktim-20			nyt://book/6ad22fcc-2a5d-5917-9696-bd7dbffc1247
