rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780805096606	Holt	The third book in the Wolf Hall trilogy. After Anne Boleyn’s execution, Thomas Cromwell’s enemies assemble.	0.00	THE MIRROR & THE LIGHT	Hilary Mantel	by Hilary Mantel	https://storage.googleapis.com/du-prd/books/images/9780805096606.jpg	329	500	https://www.amazon.com/dp/0805096604?tag=thenewyorktim-20		https://www.nytimes.com/2020/02/25/books/review/mirror-light-hilary-mantel.html	nyt://book/0fe666d7-9d07-555f-b6ba-d8b9c4b746d4
2	3	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
3	0	9780593083086	Putnam	The 17th book of the NUMA Files series. The NUMA squad teams with British MI5 to stop arms dealers from stealing ancient relics.	0.00	JOURNEY OF THE PHARAOHS	Clive Cussler and Graham Brown	by Clive Cussler and Graham Brown	https://storage.googleapis.com/du-prd/books/images/9780593083086.jpg	335	500	https://www.amazon.com/dp/0593083083?tag=thenewyorktim-20			nyt://book/0a7dc2f8-cd90-5a8e-a90b-d249f5794131
4	5	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
5	0	9781250237279	St. Martin's	A property line and a teenage romance strain relations between two North Carolina families.	0.00	A GOOD NEIGHBORHOOD	Therese Anne Fowler	by Therese Anne Fowler	https://storage.googleapis.com/du-prd/books/images/9781250237279.jpg	329	500	https://www.amazon.com/dp/1250237270?tag=thenewyorktim-20		https://www.nytimes.com/2020/03/10/books/review/a-good-neighborhood-therese-anne-fowler.html	nyt://book/186eecea-0b86-5e9c-9486-c6aa4615e67d
6	0	9780062941503	Morrow	A woman re-evaluates the relationship she had at age 15 with her 42-year-old English teacher 17 years ago.	0.00	MY DARK VANESSA	Kate Elizabeth Russell	by Kate Elizabeth Russell	https://storage.googleapis.com/du-prd/books/images/9780062941503.jpg	329	500	https://www.amazon.com/dp/006294150X?tag=thenewyorktim-20		https://www.nytimes.com/2020/03/06/books/review/my-dark-vanessa-kate-elizabeth-russell.html	nyt://book/bb8daf17-e654-5c37-9aca-84c394cbf174
7	1	9781635574043	Bloomsbury	Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.	0.00	HOUSE OF EARTH AND BLOOD	Sarah J. Maas	by Sarah J. Maas	https://storage.googleapis.com/du-prd/books/images/9781635574043.jpg	329	500	https://www.amazon.com/dp/1635574048?tag=thenewyorktim-20			nyt://book/6f162dc2-b8b1-518f-bf52-00c04159757d
8	2	9780525538233	Putnam	The 20th book in the Joe Pickett series. A grizzly bear attack and an attempted assassination of a local judge baffle the Wyoming game warden.	0.00	LONG RANGE	C.J. Box	by C.J. Box	https://storage.googleapis.com/du-prd/books/images/9780525538233.jpg	331	500	https://www.amazon.com/dp/0525538232?tag=thenewyorktim-20			nyt://book/4f1bf826-8df4-55df-a2b2-983cc9d2bc60
9	6	9780316420334	Little, Brown	The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.	0.00	BLINDSIDE	James Patterson and James O. Born	by James Patterson and James O. Born	https://storage.googleapis.com/du-prd/books/images/9780316420334.jpg	319	495	https://www.amazon.com/Blindside-Michael-Bennett-James-Patterson/dp/0316420336?tag=thenewyorktim-20			nyt://book/419c0dfc-b822-5fbe-844d-e8143f9f2bb1
10	4	9780399179563	Delacorte	An affair wrecks a marriage and a daughter seeks to get out from her family’s shadow while old dreams and new love are pursued.	0.00	THE NUMBERS GAME	Danielle Steel	by Danielle Steel	https://storage.googleapis.com/du-prd/books/images/9780399179563.jpg	328	500	https://www.amazon.com/dp/0399179569?tag=thenewyorktim-20			nyt://book/72a48fed-fda5-5738-b609-baaf996607ff
11	0	9781982137441	Atria	A Manhattan lawyer finds herself confronting a vision she had when elements of it come to life on schedule.	0.00	IN FIVE YEARS	Rebecca Serle	by Rebecca Serle	https://storage.googleapis.com/du-prd/books/images/9781982137441.jpg	326	500	https://www.amazon.com/dp/1982137444?tag=thenewyorktim-20			nyt://book/d35fb88e-69c5-51d9-a2b3-a9524508c282
