rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780765326386	Tor	The fourth book in the Stormlight Archive series. Technological discoveries and an ensuing arms race change how a war is fought.	0.00	RHYTHM OF WAR	Brandon Sanderson	by Brandon Sanderson	https://storage.googleapis.com/du-prd/books/images/9780765326386.jpg	329	500	https://www.amazon.com/dp/0765326388?tag=thenewyorktim-20			nyt://book/1f018177-46e5-5eff-83bf-2b9e9cc07290
2	0	9781538761694	Grand Central	The F.B.I. agent Atlee Pine’s search for her twin sister overlaps with a military investigator’s hunt for someone involved in a global conspiracy.	0.00	DAYLIGHT	David Baldacci	by David Baldacci	https://storage.googleapis.com/du-prd/books/images/9781538761694.jpg	331	500	https://www.amazon.com/dp/1538761696?tag=thenewyorktim-20			nyt://book/da8e02be-ca28-5393-9abc-02be863d6cb7
3	3	9780385545969	Doubleday	The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.	0.00	A TIME FOR MERCY	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545969.jpg	329	500	https://www.amazon.com/dp/0385545967?tag=thenewyorktim-20			nyt://book/33a48cf6-d7f3-5113-aa1e-6adcbb3853c3
4	1	9780316485623	Little, Brown	The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.	0.00	THE LAW OF INNOCENCE	Michael Connelly	by Michael Connelly	https://storage.googleapis.com/du-prd/books/images/9780316485623.jpg	322	500	https://www.amazon.com/dp/0316485624?tag=thenewyorktim-20			nyt://book/2a92d581-b696-57c3-a866-5b983c4c07df
5	4	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
6	0	9780399179686	Delacorte	Just as Coco is about to graduate from Columbia, tragic events in her family send her on a journey of self-discovery.	0.00	ALL THAT GLITTERS	Danielle Steel	by Danielle Steel	https://storage.googleapis.com/du-prd/books/images/9780399179686.jpg	329	500	https://www.amazon.com/dp/0399179682?tag=thenewyorktim-20			nyt://book/a2ccd984-b48a-56ee-b8bd-2ca02fe706f3
7	5	9781984818461	Delacorte	Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.	0.00	THE SENTINEL	Lee Child and Andrew Child	by Lee Child and Andrew Child	https://storage.googleapis.com/du-prd/books/images/9781984818461.jpg	327	500	https://www.amazon.com/dp/1984818465?tag=thenewyorktim-20			nyt://book/8af67edb-c121-58bc-88ca-4fc6599ef2b6
8	6	9781982154837	Atria	The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.	0.00	FORTUNE AND GLORY	Janet Evanovich	by Janet Evanovich	https://storage.googleapis.com/du-prd/books/images/9781982154837.jpg	331	500	https://www.amazon.com/dp/1982154837?tag=thenewyorktim-20			nyt://book/adddbef7-49d1-5a23-82b6-cb83b7d030fb
9	0	9780593188095	Putnam	A missing scientist, strange noises under the Arctic ice and a mole who infiltrated American intelligence bedevil President Jack Ryan.	0.00	TOM CLANCY: SHADOW OF THE DRAGON	Marc Cameron	by Marc Cameron	https://storage.googleapis.com/du-prd/books/images/9780593188095.jpg	331	500	https://www.amazon.com/dp/0593188098?tag=thenewyorktim-20			nyt://book/6115b7b6-445b-5b57-a72d-e8a172428f7f
10	0	9781982132545	Simon & Schuster	As their wedding approaches, a television producer and her fiancée must search for his missing 7-year-old nephew.	0.00	PIECE OF MY HEART	Mary Higgins Clark and Alafair Burke	by Mary Higgins Clark and Alafair Burke	https://storage.googleapis.com/du-prd/books/images/9781982132545.jpg	329	500	https://www.amazon.com/dp/198213254X?tag=thenewyorktim-20			nyt://book/571407e9-7cf6-5357-a44d-390567664349
11	2	9781982135607	Simon & Schuster	A debut collection of poems by the Grammy Award-nominated musician.	0.00	I WOULD LEAVE ME IF I COULD	Halsey	by Halsey	https://storage.googleapis.com/du-prd/books/images/9781982135607.jpg	329	500	https://www.amazon.com/dp/1982135603?tag=thenewyorktim-20			nyt://book/5da03d63-a34a-52f2-abbd-a4d5a354cb7c
12	11	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
