rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780385545938	Doubleday	The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.	0.00	CAMINO WINDS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545938.jpg	329	500	https://www.amazon.com/dp/0385545932?tag=thenewyorktim-20			nyt://book/91803cda-e698-5a30-a5cf-df1a16665394
2	1	9781982137977	Scribner	Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”	0.00	IF IT BLEEDS	Stephen King	by Stephen King	https://storage.googleapis.com/du-prd/books/images/9781982137977.jpg	329	500	https://www.amazon.com/dp/1982137975?tag=thenewyorktim-20			nyt://book/ad212b13-e446-5daf-b5d9-41bef7402b4a
3	3	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
4	2	9781538761465	Grand Central	The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.	0.00	WALK THE WIRE	David Baldacci	by David Baldacci	https://storage.googleapis.com/du-prd/books/images/9781538761465.jpg	331	500	https://www.amazon.com/dp/1538761467?tag=thenewyorktim-20			nyt://book/2a73eed3-9d66-53bb-8362-3f0a6bf5b03e
5	6	9780525429760	Viking	A scholarly young woman named Ana meets an 18-year-old Jesus and becomes caught up in a confluence of dangers.	0.00	THE BOOK OF LONGINGS	Sue Monk Kidd	by Sue Monk Kidd	https://storage.googleapis.com/du-prd/books/images/9780525429760.jpg	330	500	https://www.amazon.com/dp/052542976X?tag=thenewyorktim-20			nyt://book/f2abe3c0-5cb5-570d-be6c-be3ffedd2577
6	0	9780399179594	Delacorte	The triumphs and losses of one family over the last century are recounted as a symbolic piece of apparel gets handed down through the generations.	0.00	THE WEDDING DRESS	Danielle Steel	by Danielle Steel	https://storage.googleapis.com/du-prd/books/images/9780399179594.jpg	329	500	https://www.amazon.com/dp/0399179593?tag=thenewyorktim-20			nyt://book/ccaf6f61-cf99-55f2-90e8-de04a358cd5e
7	5	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
8	4	9780525539520	Putnam	The 30th book in the Prey series. Washington politicians ask Lucas Davenport to look into someone who is targeting their children.	0.00	MASKED PREY	John Sandford	by John Sandford	https://storage.googleapis.com/du-prd/books/images/9780525539520.jpg	331	500	https://www.amazon.com/dp/0525539522?tag=thenewyorktim-20			nyt://book/708dff0d-ca6c-5de4-a4a7-7adbe4fb6056
9	7	9781250301697	Celadon	Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.	0.00	THE SILENT PATIENT	Alex Michaelides	by Alex Michaelides	https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg	326	495	https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=thenewyorktim-20			nyt://book/fe8f9863-f798-55c5-acdf-ceb32b5484ce
10	0	9780525658658	Knopf	Henry Parsons, a microbiologist and epidemiologist, goes to Indonesia to check out a deadly virus that soon will affect the entire planet.	0.00	THE END OF OCTOBER	Lawrence Wright	by Lawrence Wright	https://storage.googleapis.com/du-prd/books/images/9780525658658.jpg	324	500	https://www.amazon.com/dp/0525658653?tag=thenewyorktim-20			nyt://book/800e45fa-44e3-5c07-a41d-f8ebd32ba6f6
11	8	9780399562488	Pamela Dorman/Viking	In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.	0.00	THE GIVER OF STARS	Jojo Moyes	by Jojo Moyes	https://storage.googleapis.com/du-prd/books/images/9780399562501.jpg	328	495	https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486?tag=thenewyorktim-20			nyt://book/0365e66e-8090-5ec1-8d8c-2ed89027d374
12	9	9781538748145	Grand Central	When a girl goes missing, a private investigator’s feral childhood becomes an asset in the search.	0.00	THE BOY FROM THE WOODS	Harlan Coben	by Harlan Coben	https://storage.googleapis.com/du-prd/books/images/9781538748145.jpg	331	500	https://www.amazon.com/dp/1538748142?tag=thenewyorktim-20			nyt://book/8473849d-638c-5820-9a87-8d1639d1287e
13	12	9781984819888	Ballantine	The stories of three women struggling to get from Louisiana to Texas during Reconstruction are discovered by a first-year teacher living a century later.	0.00	THE BOOK OF LOST FRIENDS	Lisa Wingate	by Lisa Wingate	https://storage.googleapis.com/du-prd/books/images/9781984819888.jpg	329	500	https://www.amazon.com/dp/1984819887?tag=thenewyorktim-20			nyt://book/4098a4d8-0dac-5b39-b428-00a58b28f71a
