rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780385545969	Doubleday	The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.	0.00	A TIME FOR MERCY	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545969.jpg	329	500	https://www.amazon.com/dp/0385545967?tag=thenewyorktim-20			nyt://book/33a48cf6-d7f3-5113-aa1e-6adcbb3853c3
2	1	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
3	5	9780735224650	Viking	After a divorce, a former Chicago police officer resettles in an Irish village where a boy goes missing.	0.00	THE SEARCHER	Tana French	by Tana French	https://storage.googleapis.com/du-prd/books/images/9780735224650.jpg	331	500	https://www.amazon.com/dp/073522465X?tag=thenewyorktim-20			nyt://book/6ad22fcc-2a5d-5917-9696-bd7dbffc1247
4	7	9780525954989	Viking	In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.	0.00	THE EVENING AND THE MORNING	Ken Follett	by Ken Follett	https://storage.googleapis.com/du-prd/books/images/9780525954989.jpg	329	500	https://www.amazon.com/dp/0525954988?tag=thenewyorktim-20			nyt://book/6fd2cc42-7bff-59a1-9c5c-20514172cf5b
5	4	9780765387561	Tor/Forge	A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.	0.00	THE INVISIBLE LIFE OF ADDIE LARUE	V.E. Schwab	by V.E. Schwab	https://storage.googleapis.com/du-prd/books/images/9780765387561.jpg	331	500	https://www.amazon.com/dp/0765387565?tag=thenewyorktim-20			nyt://book/c9bf2d03-7b78-58d8-a9d7-a9b897d08427
6	8	9781984818355	Ballantine	After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.	0.00	THE BOOK OF TWO WAYS	Jodi Picoult	by Jodi Picoult	https://storage.googleapis.com/du-prd/books/images/9781984818355.jpg	329	500	https://www.amazon.com/dp/198481835X?tag=thenewyorktim-20			nyt://book/24ac761d-3017-5b80-84f7-0718f5cead02
7	3	9780062667632	Ecco	A family vacation in an isolated part of Long Island is thrown into confusion when the home’s owners return claiming New York City is having a blackout.	0.00	LEAVE THE WORLD BEHIND	Rumaan Alam	by Rumaan Alam	https://storage.googleapis.com/du-prd/books/images/9780062667632.jpg	329	500	https://www.amazon.com/dp/0062667637?tag=thenewyorktim-20			nyt://book/c18d626f-6662-5ace-ad9d-331f474cf614
8	2	9780316435581	Little, Brown	The final installment of the trilogy that includes “Winter in Paradise” and “What Happens in Paradise.”	0.00	TROUBLES IN PARADISE	Elin Hilderbrand	by Elin Hilderbrand	https://storage.googleapis.com/du-prd/books/images/9780316435581.jpg	322	500	https://www.amazon.com/dp/0316435589?tag=thenewyorktim-20			nyt://book/91a0acfd-f21a-5331-9d62-305d5e44a857
9	10	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
10	0	9781984818751	Ballantine	A December cruise in the Amazon fosters a potential change in priorities for a career-focused real-estate executive.	0.00	JINGLE ALL THE WAY	Debbie Macomber	by Debbie Macomber	https://storage.googleapis.com/du-prd/books/images/9781984818751.jpg	342	500	https://www.amazon.com/dp/1984818759?tag=thenewyorktim-20			nyt://book/91844881-4d1e-505f-b976-86b1da6db1c5
11	12	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
