rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
2	0	9780593199305	Ace	The 17th book in the Dresden Files series. Harry must save Chicago from destruction by the Last Titan.	0.00	BATTLE GROUND	Jim Butcher	by Jim Butcher	https://storage.googleapis.com/du-prd/books/images/9780593199305.jpg	331	500	https://www.amazon.com/dp/0593199308?tag=thenewyorktim-20			nyt://book/b71514b0-c4ff-54e8-b4c5-5b3e7d1ad436
3	0	9781982167288	Simon & Schuster	A collection of poems by the singer and songwriter.	0.00	VIOLET BENT BACKWARDS OVER THE GRASS	Lana Del Rey	by Lana Del Rey	https://storage.googleapis.com/du-prd/books/images/9781982167288.jpg	326	500	https://www.amazon.com/dp/1982167289?tag=thenewyorktim-20			nyt://book/d510e3d5-f83b-50b5-9c1b-c386af482ee8
4	2	9780525954989	Viking	In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.	0.00	THE EVENING AND THE MORNING	Ken Follett	by Ken Follett	https://storage.googleapis.com/du-prd/books/images/9780525954989.jpg	329	500	https://www.amazon.com/dp/0525954988?tag=thenewyorktim-20			nyt://book/6fd2cc42-7bff-59a1-9c5c-20514172cf5b
5	1	9781984818355	Ballantine	After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.	0.00	THE BOOK OF TWO WAYS	Jodi Picoult	by Jodi Picoult	https://storage.googleapis.com/du-prd/books/images/9781984818355.jpg	329	500	https://www.amazon.com/dp/198481835X?tag=thenewyorktim-20			nyt://book/24ac761d-3017-5b80-84f7-0718f5cead02
6	3	9780316457422	Little, Brown	A detective and an F.B.I. agent are baffled by a cross-country killing spree.	0.00	THE COAST-TO-COAST MURDERS	James Patterson and J.D. Barker	by James Patterson and J.D. Barker	https://storage.googleapis.com/du-prd/books/images/9780316457422.jpg	331	500	https://www.amazon.com/dp/0316457426?tag=thenewyorktim-20			nyt://book/6d3c1d60-536c-5141-a13b-d09f198b6d2e
7	6	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
8	12	9781501160837	Atria	A failed bank robber holds a group of strangers hostage at an apartment open house.	0.00	ANXIOUS PEOPLE	Fredrik Backman	by Fredrik Backman	https://storage.googleapis.com/du-prd/books/images/9781501160837.jpg	332	500	https://www.amazon.com/dp/1501160834?tag=thenewyorktim-20			nyt://book/3981eb6a-8937-5dcb-848b-a3904bf779a2
9	4	9781501190650	Emily Bestler/Atria	When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist.	0.00	VINCE FLYNN: TOTAL POWER	Kyle Mills	by Kyle Mills	https://storage.googleapis.com/du-prd/books/images/9781501190650.jpg	327	500	https://www.amazon.com/dp/1501190652?tag=thenewyorktim-20			nyt://book/9045ff5c-77e5-51c8-99ba-fa9ff96d980e
10	0	9780374279301	Farrar, Straus & Giroux	An interracial romance develops between a preacher’s daughter and a Presbyterian minister’s son.	0.00	JACK	Marilynne Robinson	by Marilynne Robinson	https://storage.googleapis.com/du-prd/books/images/9780374279301.jpg	326	500	https://www.amazon.com/dp/0374279306?tag=thenewyorktim-20			nyt://book/b84ea5b2-419d-59bc-b061-c49cd21094e9
