rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	3	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
2	0	9781982104061	Emily Bestler/Atria	The 19th book in the Scot Harvath series. With a bounty on his head, Harvath makes an alliance with a Norwegian intelligence operative.	0.00	NEAR DARK	Brad Thor	by Brad Thor	https://storage.googleapis.com/du-prd/books/images/9781982104061.jpg	327	500	https://www.amazon.com/dp/1982104066?tag=thenewyorktim-20			nyt://book/d983a59b-4f61-54b1-9e30-d7c6ef7d7f0d
3	1	9780062834843	Harper	The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.	0.00	THE ORDER	Daniel Silva	by Daniel Silva	https://storage.googleapis.com/du-prd/books/images/9780062834843.jpg	331	500	https://www.amazon.com/dp/0062834843?tag=thenewyorktim-20			nyt://book/a0be17ab-e334-5e68-9c57-2613808a6933
4	4	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
5	5	9780316420044	Little, Brown	A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.	0.00	28 SUMMERS	Elin Hilderbrand	by Elin Hilderbrand	https://storage.googleapis.com/du-prd/books/images/9780316420044.jpg	322	500	https://www.amazon.com/dp/0316420042?tag=thenewyorktim-20			nyt://book/10bc4fb8-3279-533a-be20-ef6dd6cfb1be
6	7	9780062868930	Morrow	A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.	0.00	THE GUEST LIST	Lucy Foley	by Lucy Foley	https://storage.googleapis.com/du-prd/books/images/9780062868930.jpg	329	500	https://www.amazon.com/dp/0062868934?tag=thenewyorktim-20			nyt://book/dc4d32ce-1fdd-5685-946c-68fabb9dd31f
7	0	9781250256737	St. Martin's	Cora Sabino finds herself caught between her estranged whistle-blower father and the extraterrestrials who have been living here for decades.	0.00	AXIOM'S END	Lindsay Ellis	by Lindsay Ellis	https://storage.googleapis.com/du-prd/books/images/9781250256737.jpg	329	500	https://www.amazon.com/dp/1250256739?tag=thenewyorktim-20			nyt://book/2d0b6e44-b8ca-5951-9757-c5a1f8620415
8	8	9780385545938	Doubleday	The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.	0.00	CAMINO WINDS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545938.jpg	329	500	https://www.amazon.com/dp/0385545932?tag=thenewyorktim-20			nyt://book/91803cda-e698-5a30-a5cf-df1a16665394
9	2	9780451464415	Ace	The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.	0.00	PEACE TALKS	Jim Butcher	by Jim Butcher	https://storage.googleapis.com/du-prd/books/images/9780451464415.jpg	331	500	https://www.amazon.com/dp/0451464419?tag=thenewyorktim-20			nyt://book/37a10bcf-eb95-59cc-97d6-977356fa7113
10	12	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
11	6	9780385546270	Doubleday	A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.	0.00	SEX AND VANITY	Kevin Kwan	by Kevin Kwan	https://storage.googleapis.com/du-prd/books/images/9780385546270.jpg	329	500	https://www.amazon.com/dp/0385546270?tag=thenewyorktim-20			nyt://book/628e4b4b-8766-578f-8912-5276a3b53750
12	10	9780399181368	Ballantine	After dealing with loss and setbacks, two sisters take risks on dreams and love.	0.00	A WALK ALONG THE BEACH	Debbie Macomber	by Debbie Macomber	https://storage.googleapis.com/du-prd/books/images/9780399181368.jpg	329	500	https://www.amazon.com/dp/0399181369?tag=thenewyorktim-20			nyt://book/78a1e17e-10ad-58d2-a409-e48ea828bd6f
13	11	9781982137977	Scribner	Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”	0.00	IF IT BLEEDS	Stephen King	by Stephen King	https://storage.googleapis.com/du-prd/books/images/9781982137977.jpg	329	500	https://www.amazon.com/dp/1982137975?tag=thenewyorktim-20			nyt://book/ad212b13-e446-5daf-b5d9-41bef7402b4a
14	0	9780316499019	Little, Brown	While war and the Great Flu ravages 1918 Dublin, three women help expectant mothers who have been quarantined in a hospital.	0.00	THE PULL OF THE STARS	Emma Donoghue	by Emma Donoghue	https://storage.googleapis.com/du-prd/books/images/9780316499019.jpg	322	500	https://www.amazon.com/dp/0316499013?tag=thenewyorktim-20			nyt://book/11cc545e-e833-5a79-8e17-6efddc645418
15	15	9781501133510	Atria	Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.	0.00	BIG SUMMER	Jennifer Weiner	by Jennifer Weiner	https://storage.googleapis.com/du-prd/books/images/9781501133510.jpg	331	500	https://www.amazon.com/dp/1501133519?tag=thenewyorktim-20			nyt://book/71a12b08-95ae-5898-8855-5f1fb1b31ace
