rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	1	9781524761332	Ballantine	In a sequel to “Ready Player One,” Wade Watts discovers a technological advancement and goes on a new quest.	0.00	READY PLAYER TWO	Ernest Cline	by Ernest Cline	https://storage.googleapis.com/du-prd/books/images/9781524761332.jpg	328	500	https://www.amazon.com/dp/1524761338?tag=thenewyorktim-20			nyt://book/473f18d4-0433-5c42-abaa-54c7c9dd26e5
2	4	9780385545969	Doubleday	The third book in the Jake Brigance series. A 16-year-old is accused of killing a deputy in Clanton, Miss., in 1990.	0.00	A TIME FOR MERCY	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545969.jpg	329	500	https://www.amazon.com/dp/0385545967?tag=thenewyorktim-20			nyt://book/33a48cf6-d7f3-5113-aa1e-6adcbb3853c3
3	2	9780316420259	Little, Brown	The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.	0.00	DEADLY CROSS	James Patterson	by James Patterson	https://storage.googleapis.com/du-prd/books/images/9780316420259.jpg	322	500	https://www.amazon.com/dp/0316420255?tag=thenewyorktim-20			nyt://book/662286db-c00a-50de-9ba0-dec968f24b50
4	3	9781538728574	Grand Central	A doctor serving in the Navy in Afghanistan goes back to North Carolina where two women change his life.	0.00	THE RETURN	Nicholas Sparks	by Nicholas Sparks	https://storage.googleapis.com/du-prd/books/images/9781538728574.jpg	329	500	https://www.amazon.com/dp/1538728575?tag=thenewyorktim-20			nyt://book/b9bf792c-a853-54ce-8f33-7117f51be365
5	5	9781538761694	Grand Central	The F.B.I. agent Atlee Pine’s search for her twin sister overlaps with a military investigator’s hunt for someone involved in a global conspiracy.	0.00	DAYLIGHT	David Baldacci	by David Baldacci	https://storage.googleapis.com/du-prd/books/images/9781538761694.jpg	331	500	https://www.amazon.com/dp/1538761696?tag=thenewyorktim-20			nyt://book/da8e02be-ca28-5393-9abc-02be863d6cb7
6	10	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
7	7	9780316485623	Little, Brown	The sixth book in the Mickey Haller series. Haller defends himself when police find the body of a former client in his car’s trunk.	0.00	THE LAW OF INNOCENCE	Michael Connelly	by Michael Connelly	https://storage.googleapis.com/du-prd/books/images/9780316485623.jpg	322	500	https://www.amazon.com/dp/0316485624?tag=thenewyorktim-20			nyt://book/2a92d581-b696-57c3-a866-5b983c4c07df
8	9	9781984818461	Delacorte	Jack Reacher intervenes on an ambush in Tennessee and uncovers a conspiracy.	0.00	THE SENTINEL	Lee Child and Andrew Child	by Lee Child and Andrew Child	https://storage.googleapis.com/du-prd/books/images/9781984818461.jpg	327	500	https://www.amazon.com/dp/1984818465?tag=thenewyorktim-20			nyt://book/8af67edb-c121-58bc-88ca-4fc6599ef2b6
9	6	9781250272614	St. Martin's	The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.	0.00	THE AWAKENING	Nora Roberts	by Nora Roberts	https://storage.googleapis.com/du-prd/books/images/9781250272614.jpg	329	500	https://www.amazon.com/dp/1250272610?tag=thenewyorktim-20			nyt://book/f6cca87d-7905-5e95-943a-e72c543f314d
10	11	9781982154837	Atria	The 27th book in the Stephanie Plum series. Stephanie deals with a soldier of fortune from Little Havana.	0.00	FORTUNE AND GLORY	Janet Evanovich	by Janet Evanovich	https://storage.googleapis.com/du-prd/books/images/9781982154837.jpg	331	500	https://www.amazon.com/dp/1982154837?tag=thenewyorktim-20			nyt://book/adddbef7-49d1-5a23-82b6-cb83b7d030fb
