rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9781635574043	Bloomsbury	Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.	0.00	HOUSE OF EARTH AND BLOOD	Sarah J. Maas	by Sarah J. Maas	https://storage.googleapis.com/du-prd/books/images/9781635574043.jpg	329	500	https://www.amazon.com/dp/1635574048?tag=thenewyorktim-20			nyt://book/6f162dc2-b8b1-518f-bf52-00c04159757d
2	0	9780525538233	Putnam	The 20th book in the Joe Pickett series. A grizzly bear attack and an attempted assassination of a local judge baffle the Wyoming game warden.	0.00	LONG RANGE	C.J. Box	by C.J. Box	https://storage.googleapis.com/du-prd/books/images/9780525538233.jpg	331	500	https://www.amazon.com/dp/0525538232?tag=thenewyorktim-20			nyt://book/4f1bf826-8df4-55df-a2b2-983cc9d2bc60
3	2	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
4	0	9780399179563	Delacorte	An affair wrecks a marriage and a daughter seeks to get out from her family’s shadow while old dreams and new love are pursued.	0.00	THE NUMBERS GAME	Danielle Steel	by Danielle Steel	https://storage.googleapis.com/du-prd/books/images/9780399179563.jpg	328	500	https://www.amazon.com/dp/0399179569?tag=thenewyorktim-20			nyt://book/72a48fed-fda5-5738-b609-baaf996607ff
5	3	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
6	1	9780316420334	Little, Brown	The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.	0.00	BLINDSIDE	James Patterson and James O. Born	by James Patterson and James O. Born	https://storage.googleapis.com/du-prd/books/images/9780316420334.jpg	319	495	https://www.amazon.com/Blindside-Michael-Bennett-James-Patterson/dp/0316420336?tag=thenewyorktim-20			nyt://book/419c0dfc-b822-5fbe-844d-e8143f9f2bb1
7	0	9781250202031	St. Martin's	Shay Miller’s bad luck may get even worse when she meets a pair of sisters who always get what they want.	0.00	YOU ARE NOT ALONE	Greer Hendricks and Sarah Pekkanen	by Greer Hendricks and Sarah Pekkanen	https://storage.googleapis.com/du-prd/books/images/9781250202031.jpg	329	500	https://www.amazon.com/dp/1250202035?tag=thenewyorktim-20			nyt://book/2ca16350-9c24-51cd-8025-d4fea9e097fb
8	0	9780802148537	Grove	Casey Peabody goes through a big life transition as she tries to maintain a creative life.	0.00	WRITERS & LOVERS	Lily King	by Lily King	https://storage.googleapis.com/du-prd/books/images/9780802148537.jpg	330	500	https://www.amazon.com/dp/0802148530?tag=thenewyorktim-20		https://www.nytimes.com/2020/03/03/books/review/writers-lovers-by-lily-king-an-excerpt.html	nyt://book/753c6a34-8498-5a8f-821d-9c152863f32a
9	5	9781250301697	Celadon	Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.	0.00	THE SILENT PATIENT	Alex Michaelides	by Alex Michaelides	https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg	326	495	https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=thenewyorktim-20			nyt://book/fe8f9863-f798-55c5-acdf-ceb32b5484ce
10	0	9780062671189	Harper	As a bill that may hurt the rights of Native Americans goes to Congress in 1953, domestic issues arise for plant workers near the Turtle Mountain Reservation in North Dakota.	0.00	THE NIGHT WATCHMAN	Louise Erdrich	by Louise Erdrich	https://storage.googleapis.com/du-prd/books/images/9780062671189.jpg	331	500	https://www.amazon.com/dp/0062671189?tag=thenewyorktim-20		https://www.nytimes.com/2020/03/03/books/review/night-watchman-louise-erdrich.html	nyt://book/d37bbfca-b750-5a5c-ad3a-3495748aeae1
11	0	9780399181894	Ballantine	Old pains are unpacked as the fractured Perkins family goes on a trip through Europe.	0.00	THE JETSETTERS	Amanda Eyre Ward	by Amanda Eyre Ward	https://storage.googleapis.com/du-prd/books/images/9780399181894.jpg	331	500	https://www.amazon.com/dp/039918189X?tag=thenewyorktim-20		https://www.nytimes.com/2020/02/21/books/review/the-jetsetters-amanda-eyre-ward.html	nyt://book/547223d3-403e-5262-b6c4-4eac04e1af33
12	9	9780525541905	Putnam	Tumult ensues when Alix Chamberlain’s babysitter is mistakenly accused of kidnapping her charge.	0.00	SUCH A FUN AGE	Kiley Reid	by Kiley Reid	https://storage.googleapis.com/du-prd/books/images/9780525541905.jpg	328	495	https://www.amazon.com/Such-Fun-Age-Kiley-Reid/dp/052554190X?tag=thenewyorktim-20		https://www.nytimes.com/2019/12/31/books/review/such-a-fun-age-kiley-reid.html	nyt://book/f2ec30bb-ddd2-5f4a-a17c-34c574bf1bf7
13	8	9780062963673	Harper	A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.	0.00	THE DUTCH HOUSE	Ann Patchett	by Ann Patchett	https://storage.googleapis.com/du-prd/books/images/9780062963673.jpg	328	495	https://www.amazon.com/Dutch-House-Novel-Ann-Patchett/dp/0062963678?tag=thenewyorktim-20		https://www.nytimes.com/2019/09/21/books/review-dutch-house-ann-patchett.html	nyt://book/0ad5db6c-4d15-5624-bef3-1385f93f78e2
14	0	9780735216723	Riverhead	In 1969, secrets in a South Brooklyn neighborhood are uncovered when a church deacon known as Sportcoat shoots a drug dealer in public.	0.00	DEACON KING KONG	James McBride	by James McBride	https://storage.googleapis.com/du-prd/books/images/9780735216723.jpg	336	500	https://www.amazon.com/dp/073521672X?tag=thenewyorktim-20		https://www.nytimes.com/2020/02/29/books/review/deacon-king-kong-james-mcbride.html	nyt://book/ec978683-f109-562a-924c-0c7186db9547
15	10	9780399562488	Pamela Dorman/Viking	In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.	0.00	THE GIVER OF STARS	Jojo Moyes	by Jojo Moyes	https://storage.googleapis.com/du-prd/books/images/9780399562501.jpg	328	495	https://www.amazon.com/Giver-Stars-Novel-Jojo-Moyes/dp/0399562486?tag=thenewyorktim-20			nyt://book/0365e66e-8090-5ec1-8d8c-2ed89027d374
