rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780062834843	Harper	The 20th book in the Gabriel Allon series. The art restorer and spy cuts his family’s vacation short to investigate whether Pope Paul VII was murdered.	0.00	THE ORDER	Daniel Silva	by Daniel Silva	https://storage.googleapis.com/du-prd/books/images/9780062834843.jpg	331	500	https://www.amazon.com/dp/0062834843?tag=thenewyorktim-20			nyt://book/a0be17ab-e334-5e68-9c57-2613808a6933
2	0	9780451464415	Ace	The 16th book in the Dresden Files series. Chicago's only professional wizard tries to keep the peace during a summit of the Supernatural nations of the world.	0.00	PEACE TALKS	Jim Butcher	by Jim Butcher	https://storage.googleapis.com/du-prd/books/images/9780451464415.jpg	331	500	https://www.amazon.com/dp/0451464419?tag=thenewyorktim-20			nyt://book/37a10bcf-eb95-59cc-97d6-977356fa7113
3	1	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
4	2	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
5	3	9780316420044	Little, Brown	A relationship that started in 1993 between Mallory Blessing and Jake McCloud comes to light while she is on her deathbed and his wife runs for president.	0.00	28 SUMMERS	Elin Hilderbrand	by Elin Hilderbrand	https://storage.googleapis.com/du-prd/books/images/9780316420044.jpg	322	500	https://www.amazon.com/dp/0316420042?tag=thenewyorktim-20			nyt://book/10bc4fb8-3279-533a-be20-ef6dd6cfb1be
6	7	9780385546270	Doubleday	A nod to “A Room With a View” in which Lucie Tang Churchill is torn between her WASPy billionaire fiancé and a privileged hunk born in Hong Kong.	0.00	SEX AND VANITY	Kevin Kwan	by Kevin Kwan	https://storage.googleapis.com/du-prd/books/images/9780385546270.jpg	329	500	https://www.amazon.com/dp/0385546270?tag=thenewyorktim-20			nyt://book/628e4b4b-8766-578f-8912-5276a3b53750
7	6	9780062868930	Morrow	A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.	0.00	THE GUEST LIST	Lucy Foley	by Lucy Foley	https://storage.googleapis.com/du-prd/books/images/9780062868930.jpg	329	500	https://www.amazon.com/dp/0062868934?tag=thenewyorktim-20			nyt://book/dc4d32ce-1fdd-5685-946c-68fabb9dd31f
8	5	9780385545938	Doubleday	The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.	0.00	CAMINO WINDS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545938.jpg	329	500	https://www.amazon.com/dp/0385545932?tag=thenewyorktim-20			nyt://book/91803cda-e698-5a30-a5cf-df1a16665394
9	0	9780812997439	Random House	The glories and misadventures of a 1960s British band told from several perspectives with cameos by real-life musicians.	0.00	UTOPIA AVENUE	David Mitchell	by David Mitchell	https://storage.googleapis.com/du-prd/books/images/9780812997439.jpg	329	500	https://www.amazon.com/dp/0812997433?tag=thenewyorktim-20			nyt://book/cd0e3663-1a86-5fe9-83e9-dde267d53d55
10	0	9780399181368	Ballantine	After dealing with loss and setbacks, two sisters take risks on dreams and love.	0.00	A WALK ALONG THE BEACH	Debbie Macomber	by Debbie Macomber	https://storage.googleapis.com/du-prd/books/images/9780399181368.jpg	329	500	https://www.amazon.com/dp/0399181369?tag=thenewyorktim-20			nyt://book/78a1e17e-10ad-58d2-a409-e48ea828bd6f
