rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	2	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
2	0	9781538748145	Grand Central	When a girl goes missing, a private investigator’s feral childhood becomes an asset in the search.	0.00	THE BOY FROM THE WOODS	Harlan Coben	by Harlan Coben	https://storage.googleapis.com/du-prd/books/images/9781538748145.jpg	331	500	https://www.amazon.com/dp/1538748142?tag=thenewyorktim-20			nyt://book/8473849d-638c-5820-9a87-8d1639d1287e
3	4	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
4	1	9780805096606	Holt	The third book in the Wolf Hall trilogy. After Anne Boleyn’s execution, Thomas Cromwell’s enemies assemble.	0.00	THE MIRROR & THE LIGHT	Hilary Mantel	by Hilary Mantel	https://storage.googleapis.com/du-prd/books/images/9780805096606.jpg	329	500	https://www.amazon.com/dp/0805096604?tag=thenewyorktim-20		https://www.nytimes.com/2020/02/25/books/review/mirror-light-hilary-mantel.html	nyt://book/0fe666d7-9d07-555f-b6ba-d8b9c4b746d4
5	0	9780593128404	Del Rey	The Resistance goes on a new adventure as word of the re-emergence of Emperor Palpatine is sent across the galaxy.	0.00	STAR WARS: THE RISE OF SKYWALKER	Rae Carson	by Rae Carson	https://storage.googleapis.com/du-prd/books/images/9780593128404.jpg	329	500	https://www.amazon.com/dp/0593128400?tag=thenewyorktim-20			nyt://book/e1bf49a3-21b9-5687-ab1c-bd667e2a36f3
6	0	9780440001553	Ace	The 12th book in the Mercy Thompson series. The car mechanic who has the ability to turn into a coyote takes on a deadly foe.	0.00	SMOKE BITTEN	Patricia Briggs	by Patricia Briggs	https://storage.googleapis.com/du-prd/books/images/9780440001553.jpg	331	500	https://www.amazon.com/dp/0440001552?tag=thenewyorktim-20			nyt://book/667917dc-6199-5b94-a53a-d30df7c0f5c3
7	11	9781982137441	Atria	A Manhattan lawyer finds herself confronting a vision she had when elements of it come to life on schedule.	0.00	IN FIVE YEARS	Rebecca Serle	by Rebecca Serle	https://storage.googleapis.com/du-prd/books/images/9781982137441.jpg	326	500	https://www.amazon.com/dp/1982137444?tag=thenewyorktim-20			nyt://book/d35fb88e-69c5-51d9-a2b3-a9524508c282
8	9	9780316420334	Little, Brown	The 12th book in the Michael Bennett series. A serial-killing spree might impact national security.	0.00	BLINDSIDE	James Patterson and James O. Born	by James Patterson and James O. Born	https://storage.googleapis.com/du-prd/books/images/9780316420334.jpg	319	495	https://www.amazon.com/Blindside-Michael-Bennett-James-Patterson/dp/0316420336?tag=thenewyorktim-20			nyt://book/419c0dfc-b822-5fbe-844d-e8143f9f2bb1
9	3	9780593083086	Putnam	The 17th book of the NUMA Files series. The NUMA squad teams with British MI5 to stop arms dealers from stealing ancient relics.	0.00	JOURNEY OF THE PHARAOHS	Clive Cussler and Graham Brown	by Clive Cussler and Graham Brown	https://storage.googleapis.com/du-prd/books/images/9780593083086.jpg	335	500	https://www.amazon.com/dp/0593083083?tag=thenewyorktim-20			nyt://book/0a7dc2f8-cd90-5a8e-a90b-d249f5794131
10	6	9780062941503	Morrow	A woman re-evaluates the relationship she had at age 15 with her 42-year-old English teacher 17 years ago.	0.00	MY DARK VANESSA	Kate Elizabeth Russell	by Kate Elizabeth Russell	https://storage.googleapis.com/du-prd/books/images/9780062941503.jpg	329	500	https://www.amazon.com/dp/006294150X?tag=thenewyorktim-20		https://www.nytimes.com/2020/03/06/books/review/my-dark-vanessa-kate-elizabeth-russell.html	nyt://book/bb8daf17-e654-5c37-9aca-84c394cbf174
