rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9781984818355	Ballantine	After surviving a plane crash, a death doula travels to Egypt to reconnect with an old flame who is an archaeologist.	0.00	THE BOOK OF TWO WAYS	Jodi Picoult	by Jodi Picoult	https://storage.googleapis.com/du-prd/books/images/9781984818355.jpg	329	500	https://www.amazon.com/dp/198481835X?tag=thenewyorktim-20			nyt://book/24ac761d-3017-5b80-84f7-0718f5cead02
2	1	9780525954989	Viking	In a prequel to “The Pillars of the Earth,” a boatbuilder, a Norman noblewoman and a monk live in England under attack by the Welsh and the Vikings.	0.00	THE EVENING AND THE MORNING	Ken Follett	by Ken Follett	https://storage.googleapis.com/du-prd/books/images/9780525954989.jpg	329	500	https://www.amazon.com/dp/0525954988?tag=thenewyorktim-20			nyt://book/6fd2cc42-7bff-59a1-9c5c-20514172cf5b
3	0	9780316457422	Little, Brown	A detective and an F.B.I. agent are baffled by a cross-country killing spree.	0.00	THE COAST-TO-COAST MURDERS	James Patterson and J.D. Barker	by James Patterson and J.D. Barker	https://storage.googleapis.com/du-prd/books/images/9780316457422.jpg	331	500	https://www.amazon.com/dp/0316457426?tag=thenewyorktim-20			nyt://book/6d3c1d60-536c-5141-a13b-d09f198b6d2e
4	3	9781501190650	Emily Bestler/Atria	When America’s power grid is shut down, Mitch Rapp goes after a cyber terrorist.	0.00	VINCE FLYNN: TOTAL POWER	Kyle Mills	by Kyle Mills	https://storage.googleapis.com/du-prd/books/images/9781501190650.jpg	327	500	https://www.amazon.com/dp/1501190652?tag=thenewyorktim-20			nyt://book/9045ff5c-77e5-51c8-99ba-fa9ff96d980e
5	0	9780525522539	Viking	The 16th book in the Longmire series. A million dollars in a shoebox and a piece of a painting might be clues to an art heist.	0.00	NEXT TO LAST STAND	Craig Johnson	by Craig Johnson	https://storage.googleapis.com/du-prd/books/images/9780525522539.jpg	331	500	https://www.amazon.com/dp/0525522530?tag=thenewyorktim-20			nyt://book/e73dbaf0-2f77-5ef0-9de1-54fdb25b25ad
6	5	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern Black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
7	6	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
8	10	9781501188817	Gallery/Scout	An avalanche tests the bonds of coworkers from a London-based tech startup on a corporate retreat in the French Alps.	0.00	ONE BY ONE	Ruth Ware	by Ruth Ware	https://storage.googleapis.com/du-prd/books/images/9781501188817.jpg	331	500	https://www.amazon.com/dp/150118881X?tag=thenewyorktim-20			nyt://book/603b3844-b7e7-5f0b-b32c-0d760002f659
9	2	9780316498937	Mulholland	The fifth book in the Cormoran Strike series. A decades-old cold case might be connected to a serial killer; by J.K. Rowling, writing pseudonymously.	0.00	TROUBLED BLOOD	Robert Galbraith	by Robert Galbraith	https://storage.googleapis.com/du-prd/books/images/9780316498937.jpg	330	500	https://www.amazon.com/dp/0316498939?tag=thenewyorktim-20			nyt://book/1844509e-025d-5b66-ad12-05db3156416c
10	7	9781629998916	FrontLine	Nouriel, Ana Goren and a figure known as "the prophet" return as revelations are unlocked.	0.00	THE HARBINGER II	Jonathan Cahn	by Jonathan Cahn	https://storage.googleapis.com/du-prd/books/images/9781629998916.jpg	338	500	https://www.amazon.com/dp/1629998915?tag=thenewyorktim-20			nyt://book/24d1edc5-ba8f-5acb-afa5-20e2c6faa328
11	11	9781250145239	Minotaur	The 16th book in the Chief Inspector Gamache series. When his billionaire godfather is attacked, Gamache uncovers secrets hidden throughout Paris.	0.00	ALL THE DEVILS ARE HERE	Louise Penny	by Louise Penny	https://storage.googleapis.com/du-prd/books/images/9781250145239.jpg	330	500	https://www.amazon.com/dp/1250145236?tag=thenewyorktim-20			nyt://book/90d4cf12-96bd-56a2-b629-dac2b46de117
12	12	9781501160837	Atria	A failed bank robber holds a group of strangers hostage at an apartment open house.	0.00	ANXIOUS PEOPLE	Fredrik Backman	by Fredrik Backman	https://storage.googleapis.com/du-prd/books/images/9781501160837.jpg	332	500	https://www.amazon.com/dp/1501160834?tag=thenewyorktim-20			nyt://book/3981eb6a-8937-5dcb-848b-a3904bf779a2
13	4	9781250762849	Tor	Kira Navárez might be the only one who can save the Earth and its colonies from being destroyed.	0.00	TO SLEEP IN A SEA OF STARS	Christopher Paolini	by Christopher Paolini	https://storage.googleapis.com/du-prd/books/images/9781250762849.jpg	329	500	https://www.amazon.com/dp/1250762847?tag=thenewyorktim-20			nyt://book/57764912-c403-57cb-a9ed-e923164351ca
14	8	9781250207234	St. Martin's	The 51st book of the In Death series. A hitman with possible connections to Eve Dallas’s husband is seen near the scene of a crime.	0.00	SHADOWS IN DEATH	J.D. Robb	by J.D. Robb	https://storage.googleapis.com/du-prd/books/images/9781250207234.jpg	329	500	https://www.amazon.com/dp/1250207231?tag=thenewyorktim-20			nyt://book/dc417982-e5c4-54de-b9b0-23de9904f5c2
15	15	9780062868930	Morrow	A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.	0.00	THE GUEST LIST	Lucy Foley	by Lucy Foley	https://storage.googleapis.com/du-prd/books/images/9780062868930.jpg	329	500	https://www.amazon.com/dp/0062868934?tag=thenewyorktim-20			nyt://book/dc4d32ce-1fdd-5685-946c-68fabb9dd31f
