rank	rank_last_week	primary_isbn13	publisher	description	price	title	author	contributor	book_image	book_image_width	book_image_height	amazon_product_url	age_group	book_review_link	book_uri
1	0	9780525536291	Riverhead	The lives of twin sisters who run away from a Southern black community at age 16 diverge as one returns and the other takes on a different racial identity but their fates intertwine.	0.00	THE VANISHING HALF	Brit Bennett	by Brit Bennett	https://storage.googleapis.com/du-prd/books/images/9780525536291.jpg	331	500	https://www.amazon.com/dp/0525536299?tag=thenewyorktim-20			nyt://book/6db17f1d-4bd0-562a-80ef-efa2a272cf64
2	1	9780735219090	Putnam	In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.	0.00	WHERE THE CRAWDADS SING	Delia Owens	by Delia Owens	https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg	328	495	https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=thenewyorktim-20			nyt://book/053b4109-4555-5aa1-9b39-cc40549bcdf0
3	0	9780062868930	Morrow	A wedding between a TV star and a magazine publisher on an island off the coast of Ireland turns deadly.	0.00	THE GUEST LIST	Lucy Foley	by Lucy Foley	https://storage.googleapis.com/du-prd/books/images/9780062868930.jpg	329	500	https://www.amazon.com/dp/0062868934?tag=thenewyorktim-20			nyt://book/dc4d32ce-1fdd-5685-946c-68fabb9dd31f
4	4	9780385545938	Doubleday	The line between fact and fiction becomes blurred when an author of thrillers is found dead after a hurricane hits Camino Island.	0.00	CAMINO WINDS	John Grisham	by John Grisham	https://storage.googleapis.com/du-prd/books/images/9780385545938.jpg	329	500	https://www.amazon.com/dp/0385545932?tag=thenewyorktim-20			nyt://book/91803cda-e698-5a30-a5cf-df1a16665394
5	0	9780399178955	Ballantine	When the new man in her life disappears on 9/11, the budding reporter Cecily Gardner questions what she knew about him.	0.00	THE LIES THAT BIND	Emily Giffin	by Emily Giffin	https://storage.googleapis.com/du-prd/books/images/9780399178955.jpg	336	500	https://www.amazon.com/dp/0399178953?tag=thenewyorktim-20			nyt://book/8c8d6271-cc73-5e46-bbda-d3d4cce3c6a6
6	3	9780316539425	Little, Brown	The third book in the Jack McEvoy series. A reporter tracks a killer who uses genetic data to pick his victims.	0.00	FAIR WARNING	Michael Connelly	by Michael Connelly	https://storage.googleapis.com/du-prd/books/images/9780316539425.jpg	322	500	https://www.amazon.com/dp/0316539422?tag=thenewyorktim-20			nyt://book/c959a16e-114a-5d98-af1c-7bd5a0ce5878
7	2	9781250207104	St. Martin's	A child star escapes her abductors, gathers herself in western Ireland and returns to Hollywood.	0.00	HIDEAWAY	Nora Roberts	by Nora Roberts	https://storage.googleapis.com/du-prd/books/images/9781250207104.jpg	329	500	https://www.amazon.com/dp/125020710X?tag=thenewyorktim-20			nyt://book/73589940-928c-53a0-905f-59a473a5ca4e
8	5	9781982137977	Scribner	Four novellas: “Mr. Harrigan’s Phone,” “The Life of Chuck,” “Rat” and “If It Bleeds.”	0.00	IF IT BLEEDS	Stephen King	by Stephen King	https://storage.googleapis.com/du-prd/books/images/9781982137977.jpg	329	500	https://www.amazon.com/dp/1982137975?tag=thenewyorktim-20			nyt://book/ad212b13-e446-5daf-b5d9-41bef7402b4a
9	6	9781501133510	Atria	Daphne Berg’s former best friend asks her to be the maid of honor at her wedding in Cape Cod.	0.00	BIG SUMMER	Jennifer Weiner	by Jennifer Weiner	https://storage.googleapis.com/du-prd/books/images/9781501133510.jpg	331	500	https://www.amazon.com/dp/1501133519?tag=thenewyorktim-20			nyt://book/71a12b08-95ae-5898-8855-5f1fb1b31ace
10	8	9781538761465	Grand Central	The sixth book in the Memory Man series. Decker and Jamison investigate a murder in a North Dakota town in a fracking boom.	0.00	WALK THE WIRE	David Baldacci	by David Baldacci	https://storage.googleapis.com/du-prd/books/images/9781538761465.jpg	331	500	https://www.amazon.com/dp/1538761467?tag=thenewyorktim-20			nyt://book/2a73eed3-9d66-53bb-8362-3f0a6bf5b03e
11	7	9781250209764	Flatiron	A bookseller flees Mexico for the United States with her son while pursued by the head of a drug cartel.	0.00	AMERICAN DIRT	Jeanine Cummins	by Jeanine Cummins	https://storage.googleapis.com/du-prd/books/images/9781250209764.jpg	326	495	https://www.amazon.com/American-Dirt-Oprahs-Book-Club/dp/1250209765?tag=thenewyorktim-20		https://www.nytimes.com/2020/01/17/books/review-american-dirt-jeanine-cummins.html	nyt://book/ea1c7a1f-1743-57a8-b210-0150f87a4b47
12	0	9780525658696	Knopf	Jivan, PT Sir and Lovely seek to improve their circumstances within the complexity of contemporary Indian life.	0.00	A BURNING	Megha Majumdar	by Megha Majumdar	https://storage.googleapis.com/du-prd/books/images/9780525658696.jpg	302	500	https://www.amazon.com/dp/0525658696?tag=thenewyorktim-20			nyt://book/7f6d9143-5475-5a2e-b371-8e62788cf309
13	11	9781250301697	Celadon	Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.	0.00	THE SILENT PATIENT	Alex Michaelides	by Alex Michaelides	https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg	326	495	https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=thenewyorktim-20			nyt://book/fe8f9863-f798-55c5-acdf-ceb32b5484ce
14	9	9781594634697	Riverhead	A repressed memory triggers Astrid Strick to weigh the outcomes of her parenting of her now-grown children.	0.00	ALL ADULTS HERE	Emma Straub	by Emma Straub	https://storage.googleapis.com/du-prd/books/images/9781594634697.jpg	331	500	https://www.amazon.com/dp/1594634696?tag=thenewyorktim-20			nyt://book/818e0615-32ee-5ff7-ac3c-f2086b16445d
